"Account Number","Adv Number","Certificate Number","Batch Number","Tax Year","Face Amount","Assessed Value","Property Address",Homestead,Removed,"Removed Because","Removed Time Stamp","Winning Bid","Winning Premium","Winning Amount Due","Winning Bidder","Winning Bidder Name","Winning Bidder Business Name","Winning Bidder Address","Winning Bidder City","Winning Bidder State","Winning Bidder Zip","Num Ties","Num Bids"
5140E0050,1,,1,2017,14837.84,8200.00,"**ES ALHAMBRA AVE 69 FT N OF BEAVERBROOK RD",0,0,,,14837.84,,,City,,,,,,,,
042650014,2,,1,2017,486.19,2800.00,"**ES ARMSTRONG AV 300 FT N OF RIDGE AV",0,0,,,486.19,,,City,,,,,,,,
05656010C,3,,1,2017,278894.47,13200.00,"**ES ASHLEY AV 233-8 FT S FLEETWOOD AV",0,0,,,278894.47,,,City,,,,,,,,
8139D0049,4,,1,2017,432.27,13800.00,"**ES ATHOLWOOD LA 207-11 FT S OF FREDERICK AV",0,0,,,432.27,0.00,432.27,296,"U S LIENS LLC",,"P O BOX 352",GAMBRILLS,MD,21054-0352,2,2
044600013,5,,1,2017,458.11,2900.00,"**ES BLAND AV 369 FT N OF MANHATTAN AV",0,0,,,458.11,,,City,,,,,,,,
081850013,6,,1,2017,8901.90,3000.00,"**ES CHAPELGATE LA 461'2 N OVERTON ST",0,0,,,8901.90,,,City,,,,,,,,
2880D0016,7,,1,2017,93762.07,19700.00,"**ES CHELSEA RD 243-11 FT S OF CLI0000 AVE",0,0,,,93762.07,,,City,,,,,,,,
023580054,11,,1,2017,350.17,2100.00,"**ES CTR 20 FT PVT DR 158 FT W OF W WHEELER AVE 145",0,0,,,350.17,,,City,,,,,,,,
02358054A,12,,1,2017,1056.90,2800.00,"**ES CTR 20 FT PVT DR 158 FT W OF WHEELER AV 165 FT",0,0,,,1056.90,,,City,,,,,,,,
02358048D,13,,1,2017,2883.81,2100.00,"**ES CTR 20 FT PVT DR 158 FT W OF WHEELE0000E 125 FT",0,0,,,2883.81,,,City,,,,,,,,
02483015O,14,,1,2017,1436.39,1000.00,"**ES DENISON ST SEC HARLEM AV",0,0,,,1436.39,,,City,,,,,,,,
0055D0090,15,,1,2017,3566.00,1000.00,"**ES DEWBERRY ALLEY 72-9 FT S OF WINCHESTER ST",0,0,,,3566.00,,,City,,,,,,,,
3100E0026,16,,1,2017,3257.18,600.00,"**ES ELLAMONT RD 95 FT NE OF SEQUOIA AV",0,0,,,3257.18,,,City,,,,,,,,
4536A135A,23,,1,2017,20090.15,2400.00,"**ES ETHELBERT AV 390 FT N OF HAYWARD AV",0,0,,,20090.15,,,City,,,,,,,,
05411006A,24,,1,2017,14010.57,2900.00,"**ES FAIR OAKS AV 100 FT S OF EVERGREEN AV 0000",0,0,,,14010.57,,,City,,,,,,,,
054320033,25,,1,2017,7224.44,1800.00,"**ES FAIR OAKS AV 810-6 FT S OF WESTFIELD AV",0,0,,,7224.44,,,City,,,,,,,,
5818A0111,26,,1,2017,10660.95,12700.00,"**ES FRANKFORD AV 210-9 FT S OF BELLE VISTA AV",0,0,,,10660.95,,,City,,,,,,,,
075670029,27,,1,2017,8759.81,5000.00,"**ES GERANIUM AV 139 FT S OF MAGNOLIA AV",0,0,,,8759.81,,,City,,,,,,,,
075670028,28,,1,2017,69085.10,5000.00,"**ES GERANIUM AV 164 FT S OF MAGNOLIA AV",0,0,,,69085.10,,,City,,,,,,,,
4048A016A,30,,1,2017,25254.63,1500.00,"**ES GREENMOUNT AV 261 FT S OF CHESTNUT HILL AV",0,0,,,25254.63,,,City,,,,,,,,
3357H0019,32,,1,2017,8262.01,8200.00,"**ES GREENSPRING AV 123-5 FT S OF PARK HILL AV",0,0,,,8262.01,,,City,,,,,,,,
08186002A,33,,1,2017,8026.32,1900.00,"**ES HAZLETT AV 80 FT N OF N OVERTON ST",0,0,,,8026.32,,,City,,,,,,,,
078970013,34,,1,2017,2269.47,6900.00,"**ES HOLLINS FERRY RD 110 FT S OF WICOMICO ST",0,0,,,2269.47,,,City,,,,,,,,
019470001,35,,1,2017,310192.60,49200.00,"**ES JOHNSON ST 98-8 S WELLS ST",0,0,,,310192.60,,,City,,,,,,,,
051920003,37,,1,2017,8862.89,6000.00,"**ES KENILWORTH AV 242-5 FT N OF E 43RD ST",0,0,,,8862.89,,,City,,,,,,,,
7027D0019,38,,1,2017,668.14,5900.00,"**ES LEVIN RD 135 FT S OF RIVERSIDE RD",0,0,,,668.14,,,City,,,,,,,,
7027D0020,39,,1,2017,724.93,6900.00,"**ES LEVIN RD 143-6 FT S OF RIVERSIDE RD",0,0,,,724.93,,,City,,,,,,,,
7027D0021,40,,1,2017,696.22,6400.00,"**ES LEVIN RD 152 FT S OF RIVERSIDE RD",0,0,,,696.22,,,City,,,,,,,,
7027D0022,41,,1,2017,701.13,6500.00,"**ES LEVIN RD 177 FT S OF RIVERSIDE RD",0,0,,,701.13,,,City,,,,,,,,
7027D0023,42,,1,2017,701.13,6500.00,"**ES LEVIN RD 202 FT S OF RIVERSIDE RD",0,0,,,701.13,,,City,,,,,,,,
7027D0024,43,,1,2017,701.13,6500.00,"**ES LEVIN RD 227 FT S OF RIVERSIDE RD",0,0,,,701.13,,,City,,,,,,,,
7027D0025,44,,1,2017,701.13,6500.00,"**ES LEVIN RD 252 FT S OF RIVERSIDE RD",0,0,,,701.13,,,City,,,,,,,,
075190007,45,,1,2017,355.98,6400.00,"**ES LORENA AV SEC W PATAPSCO AV",0,0,,,355.98,,,City,,,,,,,,
002210052,46,,1,2017,40118.32,13900.00,"**ES MCPHAIL ST REAR 153-55 MCPHAIL ST",0,0,,,40118.32,,,City,,,,,,,,
002210018,47,,1,2017,25934.41,6000.00,"**ES MCPHAIL ST 170 FT N OF W FREDERICK AV",0,0,,,25934.41,,,City,,,,,,,,
3059A0018,49,,1,2017,3597.77,2300.00,"**ES N DENISON ST 105 FT N OF MONDAWMIN AV",0,0,,,3597.77,,,City,,,,,,,,
000410034,50,,1,2017,803.27,27300.00,"**ES N FULTON AV 110 FT S OF LAURENS ST",0,0,,,803.27,0.00,803.27,296,"U S LIENS LLC",,"P O BOX 352",GAMBRILLS,MD,21054-0352,,1
062630021,51,,1,2017,7969.48,7000.00,"**ES N JANNEY ST 28'E FAIRMOUNT AVE",0,0,,,7969.48,,,City,,,,,,,,
2454C0035,52,,1,2017,61526.07,600.00,"**ES N ROSEDALE ST 42-5 FT N OF BELMONT AVE",0,0,,,61526.07,,,City,,,,,,,,
5214A0001,56,,1,2017,3253.49,2400.00,"**ES OLD YORK RD NEC E COLD SPRING LA",0,0,,,3253.49,,,City,,,,,,,,
072000051,57,,1,2017,673.63,8000.00,"**ES PARCEL ST NEC FILBERT ST",0,0,,,673.63,,,City,,,,,,,,
072000015,58,,1,2017,88393.15,12200.00,"**ES PARCEL ST 120 FT N OF FILBERT ST",0,0,,,88393.15,,,City,,,,,,,,
077720009,59,,1,2017,344.94,7500.00,"**ES PARKSLEY AV 210 FT S OF BENSON AV",0,0,,,344.94,0.00,344.94,30,"JOHN L. JAMES II",,"13403 MARY BOWIE PARKWAY","UPPER MARLBORO",MD,20774,,1
047440113,60,,1,2017,543.46,100.00,"**ES PIMLICO RD 83' S.- W.BELVEDERE ST",0,0,,,543.46,,,City,,,,,,,,
072000023,61,,1,2017,66888.14,16300.00,"**ES PRUDENCE ST 250 FT N OF FILBERT ST",0,0,,,66888.14,,,City,,,,,,,,
7878A0001,62,,1,2017,75165.17,2900.00,"**ES RAYMOND ST NEC BREMEN ST",0,0,,,75165.17,,,City,,,,,,,,
8393K0009,63,,1,2017,39314.81,4000.00,"**ES RICHEL LA 110 FT N OF WETHEREDSVILLE RD",0,0,,,39314.81,,,City,,,,,,,,
074770039,64,,1,2017,465.66,1500.00,"**ES RIDGELY ST 176 FT S OF HARMAN AV",0,0,,,465.66,,,City,,,,,,,,
084740005,69,,1,2017,176371.81,17500.00,"**ES TAZEWELL RD SEC WAKEFIELD RD",0,0,,,176371.81,,,City,,,,,,,,
8424B0014,70,,1,2017,5440.32,9200.00,"**ES VINEWOOD PL 160 FT S OF OVERCREST AV",0,0,,,5440.32,,,City,,,,,,,,
077650016,71,,1,2017,198861.67,4000.00,"**ES WICKES AV SEC GEORGETOWN RD",0,0,,,198861.67,,,City,,,,,,,,
3390B089A,73,,1,2017,3157.35,1000.00,"**ES WOODBERRY AVE 145FT S CLIPPER PARK ROAD",0,0,,,3157.35,,,City,,,,,,,,
02817047A,74,,1,2017,107345.17,1400.00,"**ES 10 FT AL. 1ST E OF MT. HOLLY ST 264-20000 S WIN",0,0,,,107345.17,,,City,,,,,,,,
02710036I,75,,1,2017,62924.04,600.00,"**ES 10 FT ALLEY 1ST E GRANADA AVE REAR 3819 GRANADA",0,0,,,62924.04,,,City,,,,,,,,
02710036J,76,,1,2017,62924.04,600.00,"**ES 10 FT ALLEY 1ST E GRANADA AVE REAR 3821 GRANADA",0,0,,,62924.04,,,City,,,,,,,,
3261A0038,77,,1,2017,681.84,1000.00,"**ES 10 FT ALLEY 1ST E OF BENTALOU ST 110 FT N OF CL",0,0,,,681.84,,,City,,,,,,,,
027540024,78,,1,2017,6316.46,600.00,"**ES 10 FT ALLEY 1ST E OF CHELSEA TER REAR 3103 CHEL",0,0,,,6316.46,,,City,,,,,,,,
02710036L,80,,1,2017,5565.03,800.00,"**ES 10 FT ALLEY 1ST E OF GRANADA AVE REAR 3825 GRAN",0,0,,,5565.03,,,City,,,,,,,,
04007042A,81,,1,2017,84958.61,2500.00,"**ES 10 FT ALLEY 1ST E OF HOPE ST REAR 1921-25 HOPE",0,0,,,84958.61,,,City,,,,,,,,
040070042,82,,1,2017,99583.09,3100.00,"**ES 10 FT ALLEY 1ST E OF HOPE ST 1905-15 HOPE ST RE",0,0,,,99583.09,,,City,,,,,,,,
2475D0061,83,,1,2017,55920.99,400.00,"**ES 10 FT ALLEY 1ST E OF ROSEDALE ST 56 FT S OF HAR",0,0,,,55920.99,,,City,,,,,,,,
